ir,pc_index,ai_index,inst,repoName,rURL,countItems,countCcdUrls,countItemUrls,useRatio,sumCcd,ccdAggSum,ccdAggCount,ccdAggMean,ccdAggStd,ccdAggMin,ccdAgg25,ccdAgg50,ccdAgg75,ccdAggMax,itemAggSum,itemAggCount,itemAggMean,itemAggStd,itemAggMin,itemAgg25,itemAgg50,itemAgg75,itemAggMax,serp1,serp1CcdSum,serp100,serp100CcdSum,irCountry,irType,irPlat,ctMethod,ctEtd,gsSO
swarthmore_inst-schol,swarthmore_inst-schol_page_clicks,swarthmore_inst-schol_access_info,Bryn Mawr College/Haverford College/Swarthmore College,TriCollege Libraries IR,https://scholarship.tricolib.brynmawr.edu,8728,1908,1474,0.17,37718.0,37718.0,1908.0,19.768343815513628,62.274042970403265,1.0,2.0,4.0,12.0,1330.0,37718.0,1474.0,25.58887381275441,75.82027046326884,1.0,2.0,5.0,17.75,1492.0,6185,8929.0,22809,37718.0,USA,Consortium,DSpace,Title browse,,
caltech_authors,caltech_authors_page_clicks,caltech_authors_access_info,Caltech (Authors),Caltech Authors,https://authors.library.caltech.edu,81000,14346,13309,0.16,268666.0,268666.0,14346.0,18.727589572006135,146.12707539134982,1.0,1.0,2.0,6.0,7223.0,268610.0,13308.0,20.18409978960024,335.02045791028945,1.0,1.0,2.0,6.0,24063.0,30184,61581.0,113384,268666.0,USA,University,EPrints 3,Website,23.0,7900.0
caltech_thesis,caltech_thesis_page_clicks,caltech_thesis_access_info,Caltech (ETD),CaltechTHESIS,https://thesis.library.caltech.edu,9814,5748,3836,0.39,102544.0,102544.0,5748.0,17.839944328462074,87.2339443624509,1.0,1.0,4.0,11.0,4148.0,102539.0,3835.0,26.73767926988266,116.78099484841029,1.0,2.0,5.0,15.0,4202.0,17806,28921.0,63272,102544.0,USA,University,EPrints 3,Summed numbers on Browse by Degree/Thesis Type page,9874.0,6950.0
colorado,colorado_page_clicks,colorado_access_info,Colorado/Wyoming,Mountain Scholar,https://mountainscholar.org,71708,15587,13551,0.19,378100.0,378100.0,15587.0,24.257393982164626,108.65908120400485,1.0,1.0,3.0,13.0,4996.0,377875.0,13550.0,27.887453874538746,117.76610386424309,1.0,1.0,4.0,16.0,5061.0,36783,66447.0,200630,378100.0,USA,Consortium,DSpace,Title browse,5846.0,20200.0
iupui_ir,iupui_ir_page_clicks,iupui_ir_access_info,Indiana University Purdue University Indianapolis (IUPUI),IUPUI ScholarWorks,https://scholarworks.iupui.edu,15000,7418,5379,0.36,130744.0,130744.0,7418.0,17.625235912644918,208.04808761985979,1.0,1.0,2.0,7.0,13936.0,130744.0,5379.0,24.306376649934933,259.9206622563366,1.0,1.0,3.0,10.0,15125.0,13036,34562.0,60034,130744.0,USA,University,DSpace,"Website states ""over 15,000."" No title browse available",2294.0,6480.0
krex,krex_page_clicks,krex_access_info,Kansas State University,K-REX,https://krex.k-state.edu/dspace/,37084,8098,7366,0.2,103740.0,103740.0,8098.0,12.810570511237342,72.8427662515571,1.0,1.0,2.0,6.0,2416.0,103740.0,7366.0,14.083627477599784,82.45362455158451,1.0,1.0,2.0,6.0,2416.0,13389,23632.0,54310,103740.0,USA,University,DSpace,Title browse,17447.0,23800.0
massey,massey_page_clicks,massey_access_info,Massey University,Massey Research Online,https://mro.massey.ac.nz,12207,13504,9519,0.78,230482.0,230482.0,13504.0,17.067683649289098,54.875237795469054,1.0,1.0,3.0,11.0,1687.0,230482.0,9519.0,24.21283748292888,69.47724142623063,1.0,2.0,5.0,19.0,1695.0,31149,43617.0,145825,230482.0,New Zealand,University,DSpace,Title browse ,10535.0,11600.0
mcmaster,mcmaster_page_clicks,mcmaster_access_info,McMaster University,MacSphere (McMaster),https://macsphere.mcmaster.ca,17979,9221,9122,0.51,179991.0,179991.0,9221.0,19.519683331525865,62.18464883475916,1.0,2.0,6.0,17.0,3290.0,179991.0,9122.0,19.73152817364613,62.891850683645075,1.0,2.0,6.0,17.0,3290.0,29454,43438.0,123754,179991.0,Canada,University,DSpace,Title browse,15636.0,16900.0
montana,montana_page_clicks,montana_access_info,Montana State University,Montana State ScholarWorks,https://scholarworks.montana.edu,14381,5364,4571,0.32,131955.0,131955.0,5364.0,24.600111856823265,231.9606334144318,1.0,1.0,3.0,10.0,15492.0,131950.0,4570.0,28.87308533916849,258.3331819863422,1.0,1.0,3.0,11.0,15492.0,12763,22193.0,58446,131955.0,USA,University,DSpace,Title browse,10492.0,10600.0
northeastern,northeastern_page_clicks,northeastern_access_info,Northeastern University,Digital Repository Service,https://repository.library.northeastern.edu,5446,3173,3173,0.58,92626.0,92626.0,3173.0,29.191931925622438,119.20694505041482,1.0,2.0,7.0,22.0,4090.0,92453.0,3172.0,29.146595208070618,119.19837742111258,1.0,2.0,7.0,22.0,4090.0,8796,12140.0,54713,92626.0,USA,University,Fedora/Samvera,Summed numbers on Featured Content page,3877.0,2040.0
nku,nku_page_clicks,nku_access_info,Northern Kentucky University,NKU Digital Repository,https://dspace.nku.edu,2420,425,408,0.17,2315.0,2315.0,425.0,5.447058823529412,21.90519123143376,1.0,1.0,2.0,4.0,391.0,2315.0,408.0,5.674019607843137,22.486230818704296,1.0,1.0,2.0,4.0,391.0,724,853.0,1768,2315.0,USA,University,DSpace,Title browse,17.0,645.0
viurr,viurr_page_clicks,viurr_access_info,Royal Roads University/Vancouver Island University,VIURRSpace,https://viurrspace.ca,10366,1770,1670,0.16,25992.0,25992.0,1770.0,14.684745762711865,96.77265873038549,1.0,1.0,3.0,8.0,3329.0,25992.0,1670.0,15.564071856287425,100.47255226838706,1.0,1.0,3.0,8.0,3329.0,3521,5467.0,14731,25992.0,Canada,Consortium,DSpace,Title browse,,2700.0
