ir,pc_index,ai_index,inst,repoName,rURL,countItems,countCcdUrls,countItemUrls,useRatio,sumCcd,ccdAggSum,ccdAggCount,ccdAggMean,ccdAggStd,ccdAggMin,ccdAgg25,ccdAgg50,ccdAgg75,ccdAggMax,itemAggSum,itemAggCount,itemAggMean,itemAggStd,itemAggMin,itemAgg25,itemAgg50,itemAgg75,itemAggMax,serp1,serp1CcdSum,serp100,serp100CcdSum,irCountry,irType,irPlat,normIrPlat,ctMethod,ctEtd,pctEtd,gsSO
swarthmore_inst-schol,swarthmore_inst-schol_page_clicks,swarthmore_inst-schol_access_info,Bryn Mawr College/Haverford College/Swarthmore College,TriCollege Libraries IR,https://scholarship.tricolib.brynmawr.edu,8728,1908,1474,0.17,37718,37718,1908,19.76834382,62.27404297,1,2,4,12,1330,37718,1474,25.58887381,75.82027046,1,2,5,17.75,1492,6185,8929,22809,37718,USA,Consortium,DSpace,DSpace,Title browse,.,.,.
caltech_authors,caltech_authors_page_clicks,caltech_authors_access_info,Caltech (Authors),Caltech Authors,https://authors.library.caltech.edu,81000,14346,13309,0.16,268666,268666,14346,18.72758957,146.1270754,1,1,2,6,7223,268610,13308,20.18409979,335.0204579,1,1,2,6,24063,30184,61581,113384,268666,USA,University,EPrints 3,EPrints,Website,23,0,7900
caltech_thesis,caltech_thesis_page_clicks,caltech_thesis_access_info,Caltech (ETD),CaltechTHESIS,https://thesis.library.caltech.edu,9814,5748,3836,0.39,102544,102544,5748,17.83994433,87.23394436,1,1,4,11,4148,102539,3835,26.73767927,116.7809948,1,2,5,15,4202,17806,28921,63272,102544,USA,University,EPrints 3,EPrints,Summed numbers on Browse by Degree/Thesis Type page,9874,1.01,6950
colorado,colorado_page_clicks,colorado_access_info,Colorado/Wyoming,Mountain Scholar,https://mountainscholar.org,71708,15587,13551,0.19,378100,378100,15587,24.25739398,108.6590812,1,1,3,13,4996,377875,13550,27.88745387,117.7661039,1,1,4,16,5061,36783,66447,200630,378100,USA,Consortium,DSpace,DSpace,Title browse,5846,0.08,20200
iupui_ir,iupui_ir_page_clicks,iupui_ir_access_info,Indiana University Purdue University Indianapolis (IUPUI),IUPUI ScholarWorks,https://scholarworks.iupui.edu,15000,7418,5379,0.36,130744,130744,7418,17.62523591,208.0480876,1,1,2,7,13936,130744,5379,24.30637665,259.9206623,1,1,3,10,15125,13036,34562,60034,130744,USA,University,DSpace,DSpace,"Website states ""over 15,000."" No title browse available",2294,0.15,6480
krex,krex_page_clicks,krex_access_info,Kansas State University,K-REX,https://krex.k-state.edu/dspace/,37084,8098,7366,0.2,103740,103740,8098,12.81057051,72.84276625,1,1,2,6,2416,103740,7366,14.08362748,82.45362455,1,1,2,6,2416,13389,23632,54310,103740,USA,University,DSpace,DSpace,Title browse,17447,0.47,23800
massey,massey_page_clicks,massey_access_info,Massey University,Massey Research Online,https://mro.massey.ac.nz,12207,13504,9519,0.78,230482,230482,13504,17.06768365,54.8752378,1,1,3,11,1687,230482,9519,24.21283748,69.47724143,1,2,5,19,1695,31149,43617,145825,230482,New Zealand,University,DSpace,DSpace,Title browse ,10535,0.86,11600
mcmaster,mcmaster_page_clicks,mcmaster_access_info,McMaster University,MacSphere (McMaster),https://macsphere.mcmaster.ca,17979,9221,9122,0.51,179991,179991,9221,19.51968333,62.18464883,1,2,6,17,3290,179991,9122,19.73152817,62.89185068,1,2,6,17,3290,29454,43438,123754,179991,Canada,University,DSpace,DSpace,Title browse,15636,0.87,16900
montana,montana_page_clicks,montana_access_info,Montana State University,Montana State ScholarWorks,https://scholarworks.montana.edu,14381,5364,4571,0.32,131955,131955,5364,24.60011186,231.9606334,1,1,3,10,15492,131950,4570,28.87308534,258.333182,1,1,3,11,15492,12763,22193,58446,131955,USA,University,DSpace,DSpace,Title browse,10492,0.73,10600
northeastern,northeastern_page_clicks,northeastern_access_info,Northeastern University,Digital Repository Service,https://repository.library.northeastern.edu,5446,3173,3173,0.58,92626,92626,3173,29.19193193,119.2069451,1,2,7,22,4090,92453,3172,29.14659521,119.1983774,1,2,7,22,4090,8796,12140,54713,92626,USA,University,Fedora/Samvera,Fedora,Summed numbers on Featured Content page,3877,0.71,2040
nku,nku_page_clicks,nku_access_info,Northern Kentucky University,NKU Digital Repository,https://dspace.nku.edu,2420,425,408,0.17,2315,2315,425,5.447058824,21.90519123,1,1,2,4,391,2315,408,5.674019608,22.48623082,1,1,2,4,391,724,853,1768,2315,USA,University,DSpace,DSpace,Title browse,17,0.01,645
viurr,viurr_page_clicks,viurr_access_info,Royal Roads University/Vancouver Island University,VIURRSpace,https://viurrspace.ca,10366,1770,1670,0.16,25992,25992,1770,14.68474576,96.77265873,1,1,3,8,3329,25992,1670,15.56407186,100.4725523,1,1,3,8,3329,3521,5467,14731,25992,Canada,Consortium,DSpace,DSpace,Title browse,.,.,2700
rutgers,rutgers_page_clicks,rutgers_access_info,Rutgers University,Rucore (Rutgers),https://rucore.libraries.rutgers.edu,43008,8707,8274,0.19,159338,159338,8707,18.29998851,98.36156177,1,1,4,12,6141,159338,8274,19.25767464,101.2179204,1,2,4,13,6141,20354,33998,97179,159338,USA,University,Fedora,Fedora,Blank search,8103,0.19,13300
shsu_ir,shsu_ir_page_clicks,shsu_ir_access_info,Sam Houston State University,Scholarly Works @ SHSU,https://shsu-ir.tdl.org,2095,768,586,0.28,7973,7973,768,10.38151042,27.63987109,1,1,3,8,364,7962,585,13.61025641,34.62537123,1,1,3,10,382,2320,2942,5936,7973,USA,University,DSpace,DSpace,Title browse,271,0.13,2010
swarthmore,swarthmore_page_clicks,swarthmore_access_info,Swarthmore College,Swarthmore Works,https://works.swarthmore.edu,11095,818,687,0.06,13223,13223,818,16.16503667,70.0701757,1,1,3,9,1705,13203,686,19.24635569,78.24346586,1,1,4,12,1705,1840,2376,8151,13223,USA,University,Digital Commons,Digital Commons,Website,.,.,.
epsilon,epsilon_page_clicks,epsilon_access_info,Swedish University of Agricultural Sciences,Epsilon Open Archive,https://pub.epsilon.slu.se,9307,4836,4775,0.51,137830,137830,4836,28.50082713,113.2349618,1,2,7,21,4451,137830,4775,28.86492147,113.9855549,1,2,7,21,4451,25934,44685,80856,137830,Sweden,University,EPrints 3,EPrints,BASE,8269,0.89,6700
epsilon_students,epsilon_students_page_clicks,epsilon_students_access_info,Swedish University of Agricultural Sciences,Epsilon Archive for Student Projects,https://stud.epsilon.slu.se/cgi/stats/report,11895,10792,10757,0.9,421045,421045,10792,39.01454781,98.94348229,1,5,12,34,2375,421045,10757,39.14148926,99.12988063,1,5,13,34,2375,107724,178733,252292,421045,Sweden,University,EPrints 3,EPrints,Items listed on statistics browse page,11895,1,11700
univ_kentucky,univ_kentucky_page_clicks,univ_kentucky_access_info,University of Kentucky,Uknowledge (U Kentucky),https://uknowledge.uky.edu,34196,12228,10628,0.31,299022,299022,12228,24.45387635,83.99721678,1,2,5,17,3621,299022,10628,28.13530297,90.81305706,1,2,6,21,3750,29928,46120,180079,299022,USA,University,Digital Commons,Digital Commons,Website,3100,0.09,19800
md_drum,md_drum_page_clicks,md_drum_access_info,University of Maryland,DRUM (U Maryland),https://drum.lib.umd.edu,21246,11336,8714,0.41,253804,253804,11336,22.38920254,96.06795531,1,1,4,12,2401,253804,8714,29.12600413,123.8521523,1,1,4,15,2867,31299,66048,127098,253804,USA,University,DSpace,DSpace,Title browse,14289,0.67,17700
